,date,diff_fajr,diff_zuhr,diff_asr,diff_maghrib,diff_isha
0,2024-11-30,0,-2,0,0,0
1,2024-12-01,0,-2,-1,0,-1
2,2024-12-02,-1,-1,0,-1,0
3,2024-12-03,0,-2,0,0,0
4,2024-12-04,0,-2,0,-1,-1
5,2024-12-05,-1,-2,0,-1,0
6,2024-12-06,0,-2,-1,0,-1
7,2024-12-07,-1,-2,0,-1,0
8,2024-12-08,0,-2,-1,0,-1
9,2024-12-09,0,-2,0,-1,0
10,2024-12-10,-1,-2,0,0,-1
11,2024-12-11,0,-2,0,0,0
12,2024-12-12,-1,-2,0,-1,-1
13,2024-12-13,0,-2,0,0,0
14,2024-12-14,-1,-2,0,-1,-1
15,2024-12-15,0,-2,0,0,0
16,2024-12-16,-1,-2,0,-1,-1
17,2024-12-17,-1,-2,0,0,0
18,2024-12-18,-1,-2,0,-1,-1
19,2024-12-19,-1,-2,0,0,0
20,2024-12-20,-1,-2,0,-1,-1
21,2024-12-21,-1,-2,0,0,0
22,2024-12-22,-1,-2,0,-1,-1
23,2024-12-23,-1,-2,0,0,0
24,2024-12-24,-1,-2,0,-1,-1
25,2024-12-25,-1,-2,0,0,0
26,2024-12-26,-1,-2,0,-1,-1
27,2024-12-27,-1,-2,-1,0,0
28,2024-12-28,-1,-2,0,-1,-1
29,2024-12-29,-1,-2,-1,0,0
30,2024-12-30,-1,-2,0,-1,0
31,2024-12-31,-1,-2,-1,0,-1
