0,1,2,3,4,5,6
2025,Fajr,Sunrise,Dhuhr,Asr,Maghrib,Isha
3 Jan,06:07,07:19,13:18,16:43,19:17,20:32
4 Jan,06:07,07:20,13:19,16:43,19:18,20:32
5 Jan,06:08,07:20,13:19,16:44,19:18,20:33
6 Jan,06:08,07:21,13:20,16:44,19:19,20:33
7 Jan,06:09,07:21,13:20,16:44,19:19,20:33
8 Jan,06:09,07:21,13:21,16:45,19:20,20:34
9 Jan,06:10,07:22,13:21,16:45,19:20,20:34
10 Jan,06:10,07:22,13:22,16:46,19:20,20:34
11 Jan,06:11,07:22,13:22,16:46,19:21,20:35
12 Jan,06:11,07:23,13:22,16:46,19:21,20:35
13 Jan,06:12,07:23,13:23,16:47,19:22,20:35
14 Jan,06:12,07:24,13:23,16:47,19:22,20:36
15 Jan,06:13,07:24,13:23,16:47,19:22,20:36
16 Jan,06:13,07:24,13:24,16:48,19:23,20:36
17 Jan,06:13,07:24,13:24,16:48,19:23,20:37
18 Jan,06:14,07:25,13:24,16:48,19:24,20:37
19 Jan,06:14,07:25,13:25,16:48,19:24,20:37
20 Jan,06:14,07:25,13:25,16:49,19:24,20:37
21 Jan,06:15,07:25,13:25,16:49,19:25,20:38
22 Jan,06:15,07:26,13:26,16:49,19:25,20:38
23 Jan,06:16,07:26,13:26,16:49,19:25,20:38
24 Jan,06:16,07:26,13:26,16:49,19:26,20:38
25 Jan,06:16,07:26,13:26,16:50,19:26,20:38
26 Jan,06:16,07:26,13:27,16:50,19:26,20:39
27 Jan,06:17,07:27,13:27,16:50,19:26,20:39
28 Jan,06:17,07:27,13:27,16:50,19:27,20:39
29 Jan,06:17,07:27,13:27,16:50,19:27,20:39
30 Jan,06:17,07:27,13:27,16:50,19:27,20:39
31 Jan,06:18,07:27,13:28,16:50,19:27,20:39
1 Feb,06:18,07:27,13:28,16:50,19:28,20:39
